Country,2017/18,2018/19,2019/20,2020/21,2022/02,2022/03
Afghanistan,3300,3700,3000,3000,2800,2600
Algeria,8172,7515,7145,7680,7700,7500
Bangladesh,6472,5100,6800,7200,7500,7500
Brazil,6702,7442,7063,6359,6700,6700
China,3937,3145,5376,10618,9500,9500
Colombia,1952,1705,2276,1906,2000,2000
Egypt,12407,12354,12811,12149,13000,12500
European Union,6060,5763,5551,5379,5200,4800
Indonesia,10763,10934,10586,10450,11000,11000
Iran,190,170,2500,2200,7000,7000
Iraq,4264,4031,2242,2175,3100,3100
Japan,5876,5726,5683,5493,5600,5600
Kenya,2158,2000,2500,2092,2200,2000
Korea South,4269,3908,3941,3889,4500,4500
Mexico,5245,4861,5080,4724,5100,5100
Morocco,3672,3724,4879,5191,5000,5000
Nigeria,5162,4659,5338,6586,6200,6200
Philippines,6059,7570,7065,6113,6500,6500
Saudi Arabia,3492,2902,3652,2818,3600,3600
Thailand,3173,2899,3501,3306,2900,2900
Turkey,6092,6515,11087,8051,11000,10000
United Kingdom,2299,2793,1745,3221,2300,2300
Uzbekistan,3119,2837,2746,3758,3200,3200
Vietnam,4709,3500,3570,3900,3800,4100
Yemen,3010,3675,3728,4043,3600,3400
