Country,2017/18,2018/19,2019/20,2020/21,2022/06,2022/07
Afghanistan,3700,3000,3400,3200,3400,3400
Algeria,7515,7145,7680,7800,7900,8100
Bangladesh,5100,6800,7200,7500,7000,7000
Brazil,7442,7063,6359,6582,6400,6400
China,3145,5376,10618,9700,9500,9500
Colombia,1705,2276,1906,1900,2200,2300
Egypt,12354,12811,12149,11500,11000,11000
European Union,5763,5551,5379,4500,5000,5500
Indonesia,10934,10586,10649,11000,11200,11200
Iran,170,2500,2200,7700,6000,6000
Iraq,4031,2242,2175,2600,3500,3500
Japan,5726,5683,5493,5400,5300,5500
Kenya,2000,2500,2092,2000,2200,2200
Korea South,3908,3941,3889,5000,4200,4200
Mexico,4861,5080,4724,5100,5200,5200
Morocco,3724,4879,5191,4800,7000,7000
Nigeria,4659,5338,6586,6200,6500,6500
Pakistan,2,1,3617,2200,2000,2500
Philippines,7570,7065,6113,6500,6300,6200
Saudi Arabia,2902,3652,2818,3400,3000,3000
Thailand,2899,3501,3306,2400,2700,2700
Turkey,6515,11087,8051,9500,10000,10000
Uzbekistan,2837,2746,3758,3200,3500,3500
Vietnam,3500,3570,3900,4500,3900,4200
Yemen,3675,3728,4043,3400,3700,3700
